EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 223645 223646 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
223645,19740327,   23,    0
223645,19740328,   55,    0
223645,19740329,   42,    0
223645,19740330,   30,    0
223645,19740331,   60,    0
223645,19740401,   87,    0
223645,19740402,   81,    0
223645,19740403,   26,    0
223645,19740404,   26,    0
223645,19740405,   27,    0
223645,19740406,   19,    0
223645,19740407,   13,    0
223645,19740408,   38,    0
223645,19740409,   23,    0
223645,19740410,    8,    0
223645,19740411,   30,    0
223645,19740412,   28,    0
223645,19740413,   43,    0
223645,19740414,   99,    0
223645,19740415,   54,    0
223645,19740416,   23,    0
223645,19740417,   87,    0
223645,19740418,  103,    0
223645,19740419,   30,    0
223645,19740420,   34,    0
223645,19740421,   39,    0
223645,19740422,   14,    0
223645,19740423,   19,    0
223645,19740424,   20,    0
223645,19740425,   25,    0
223645,19740426,   20,    0
223645,19740427,   43,    0
223645,19740428,   38,    0
223645,19740429,   69,    0
223645,19740430,   70,    0
223645,19740501,   47,    0
223645,19740502,   22,    0
223645,19740503,   21,    0
223645,19740504,   10,    0
223645,19740505,   26,    0
223645,19740506,   44,    0
223645,19740507,   39,    0
223645,19740508,   26,    0
223645,19740509,   51,    0
223645,19740510,   28,    0
223645,19740511,    7,    0
223645,19740512,   10,    0
223645,19740513,   16,    0
223645,19740514,   17,    0
223645,19740515,   30,    0
223645,19740516,   34,    0
223645,19740517,   20,    0
223645,19740518,   11,    0
223645,19740519,   12,    0
223645,19740520,   21,    0
223645,19740521,   17,    0
223645,19740522,   20,    0
223645,19740523,   62,    0
223645,19740524,   28,    0
223645,19740525,   34,    0
223645,19740526,   27,    0
223645,19740527,   29,    0
223645,19740528,   21,    0
223645,19740529,   37,    0
223645,19740530,   17,    0
223645,19740531,   15,    0
223645,19740601,   12,    0
223645,19740602,   17,    0
223645,19740603,   23,    0
223645,19740604,   22,    0
223645,19740605,   27,    0
223645,19740606,   51,    0
223645,19740607,   32,    0
223645,19740608,   32,    0
223645,19740609,   14,    0
223645,19740610,   27,    0
223645,19740611,   62,    0
223645,19740612,   77,    0
223645,19740613,   46,    0
223645,19740614,   22,    0
223645,19740615,   27,    0
223645,19740616,   20,    0
223645,19740617,   11,    0
223645,19740618,   12,    0
223645,19740619,   19,    0
223645,19740620,   19,    0
223645,19740621,   11,    0
223645,19740622,   16,    0
223645,19740623,   34,    0
223645,19740624,   12,    0
223645,19740625,   45,    0
223645,19740626,   13,    0
223645,19740627,   12,    0
223645,19740628,   19,    0
223645,19740629,   30,    0
223645,19740630,   27,    0
223645,19740701,   23,    0
223645,19740702,   36,    0
223645,19740703,   10,    0
223645,19740704,   18,    0
223645,19740705,   15,    0
223645,19740706,    6,    0
223645,19740707,   24,    0
223645,19740708,   16,    0
223645,19740709,   12,    0
223645,19740710,   28,    0
223645,19740711,   12,    0
223645,19740712,   16,    0
223645,19740713,    9,    0
223645,19740714,    2,    0
223645,19740715,    6,    0
223645,19740716,   42,    0
223645,19740717,   20,    0
223645,19740718,   34,    0
223645,19740719,   30,    0
223645,19740720,   33,    0
223645,19740721,   19,    0
223645,19740722,   44,    0
223645,19740723,   40,    0
223645,19740724,   31,    0
223645,19740725,   14,    0
223645,19740726,   37,    0
223645,19740727,    8,    0
223645,19740728,    4,    0
223645,19740729,    3,    0
223645,19740730,    2,    0
223645,19740731,    1,    0
223645,19740801,   13,    0
223645,19740802,    8,    0
223645,19740803,    7,    0
223645,19740804,   19,    0
223645,19740805,    8,    0
223645,19740806,   21,    0
223645,19740807,   24,    0
223645,19740808,    6,    0
223645,19740809,   16,    0
223645,19740810,   27,    0
223645,19740811,   27,    0
223645,19740812,   63,    0
223645,19740813,   19,    0
223645,19740814,   24,    0
223645,19740815,   23,    0
223645,19740816,    7,    0
223645,19740817,   12,    0
223645,19740818,   28,    0
223645,19740819,   29,    0
223645,19740820,   32,    0
223645,19740821,   41,    0
223645,19740822,   19,    0
223645,19740823,   37,    0
223645,19740824,   25,    0
223645,19740825,   22,    0
223645,19740826,   12,    0
223645,19740827,   14,    0
223645,19740828,   35,    0
223645,19740829,   43,    0
223645,19740830,   40,    0
223645,19740831,   21,    0
223645,19740901,   14,    0
223645,19740902,    6,    0
223645,19740903,   13,    0
223645,19740904,   26,    0
223645,19740905,   19,    0
223645,19740906,   21,    0
223645,19740907,   25,    0
223645,19740908,    8,    0
223645,19740909,    9,    0
223645,19740910,   10,    0
223645,19740911,   43,    0
223645,19740912,   31,    0
223645,19740913,    3,    0
223645,19740914,   10,    0
223645,19740915,   30,    0
223645,19740916,   41,    0
223645,19740917,    6,    0
223645,19740918,    8,    0
223645,19740919,    6,    0
223645,19740920,   11,    0
223645,19740921,   17,    0
223645,19740922,   22,    0
223645,19740923,   22,    0
223645,19740924,   17,    0
223645,19740925,   11,    0
223645,19740926,   29,    0
223645,19740927,   62,    0
223645,19740928,   27,    0
223645,19740929,   10,    0
223645,19740930,   27,    0
223645,19741001,   38,    0
223645,19741002,   19,    0
223645,19741003,   56,    0
223645,19741004,    9,    0
223645,19741005,   18,    0
223645,19741006,   39,    0
223645,19741007,   17,    0
223645,19741008,   21,    0
223645,19741009,   37,    0
223645,19741010,   22,    0
223645,19741011,   14,    0
223645,19741012,   20,    0
223645,19741013,   27,    0
223645,19741014,   32,    0
223645,19741015,   17,    0
223645,19741016,   42,    0
223645,19741017,   43,    0
223645,19741018,   23,    0
223645,19741019,    4,    0
223645,19741020,    6,    0
223645,19741021,   46,    0
223645,19741022,   35,    0
223645,19741023,   22,    0
223645,19741024,   28,    0
223645,19741025,   26,    0
223645,19741026,   21,    0
223645,19741027,   13,    0
223645,19741028,   23,    0
223645,19741029,   23,    0
223645,19741030,   49,    0
223645,19741031,   41,    0
223645,19741101,   62,    0
223645,19741102,   78,    0
223645,19741103,   55,    0
223645,19741104,   11,    0
223645,19741105,   16,    0
223645,19741106,   12,    0
223645,19741107,   35,    0
223645,19741108,   88,    0
223645,19741109,   54,    0
223645,19741110,   10,    0
223645,19741111,    2,    0
223645,19741112,    3,    0
223645,19741113,-9999,    9
223645,19741114,    0,    0
223645,19741115,    1,    0
223645,19741116,   17,    0
223645,19741117,   19,    0
223645,19741118,    0,    0
223645,19741119,   13,    0
223645,19741120,   33,    0
223645,19741121,   20,    0
223645,19741122,   17,    0
223645,19741123,    9,    0
223645,19741124,   38,    0
223645,19741125,   14,    0
223645,19741126,   26,    0
223645,19741127,   29,    0
223645,19741128,    7,    0
223645,19741129,   30,    0
223645,19741130,   12,    0
223645,19741201,    8,    0
223645,19741202,    6,    0
223645,19741203,   16,    0
223645,19741204,    8,    0
223645,19741205,   24,    0
223645,19741206,   28,    0
223645,19741207,   14,    0
223645,19741208,   10,    0
223645,19741209,   25,    0
223645,19741210,    4,    0
223645,19741211,   17,    0
223645,19741212,    2,    0
223645,19741213,   14,    0
223645,19741214,   70,    0
223645,19741215,  145,    0
223645,19741216,   45,    0
223645,19741217,   18,    0
223645,19741218,   20,    0
223645,19741219,   16,    0
223645,19741220,   14,    0
223645,19741221,   17,    0
223645,19741222,    5,    0
223645,19741223,    3,    0
223645,19741224,    9,    0
223645,19741225,   48,    0
223645,19741226,   29,    0
223645,19741227,   25,    0
223645,19741228,   13,    0
223645,19741229,   63,    0
223645,19741230,   26,    0
223645,19741231,   66,    0
223645,19750101,   22,    0
223645,19750102,    4,    0
223645,19750103,   10,    0
223645,19750104,   19,    0
223645,19750105,   19,    0
223645,19750106,   26,    0
223645,19750107,   25,    0
223645,19750108,   18,    0
223645,19750109,   14,    0
223645,19750110,   16,    0
223645,19750111,   10,    0
223645,19750112,   11,    0
223645,19750113,    6,    0
223645,19750114,   12,    0
223645,19750115,    8,    0
223645,19750116,    7,    0
223645,19750117,    8,    0
223645,19750118,    4,    0
223645,19750119,    3,    0
223645,19750120,   11,    0
223645,19750121,    2,    0
223645,19750122,    4,    0
223645,19750123,   14,    0
223645,19750124,    8,    0
223645,19750125,    5,    0
223645,19750126,    4,    0
223645,19750127,    9,    0
223645,19750128,    8,    0
223645,19750129,    4,    0
223645,19750130,    7,    0
223645,19750131,    5,    0
223645,19750201,    6,    0
223645,19750202,    7,    0
223645,19750203,   36,    0
223645,19750204,   17,    0
223645,19750205,   27,    0
223645,19750206,   10,    0
223645,19750207,   23,    0
223645,19750208,   10,    0
223645,19750209,    8,    0
223645,19750210,    6,    0
223645,19750211,   14,    0
223645,19750212,    2,    0
223645,19750213,   10,    0
223645,19750214,    5,    0
223645,19750215,   22,    0
223645,19750216,   30,    0
223645,19750217,   20,    0
223645,19750218,   12,    0
223645,19750219,   12,    0
223645,19750220,   26,    0
223645,19750221,   47,    0
223645,19750222,   15,    0
223645,19750223,   13,    0
223645,19750224,   17,    0
223645,19750225,    6,    0
223645,19750226,   17,    0
223645,19750227,   19,    0
223645,19750228,   15,    0
223645,19750301,    9,    0
223645,19750302,    7,    0
223645,19750303,    3,    0
223645,19750304,   15,    0
223645,19750305,   10,    0
223645,19750306,    5,    0
223645,19750307,    2,    0
223645,19750308,    4,    0
223645,19750309,   22,    0
223645,19750310,   28,    0
223645,19750311,   10,    0
223645,19750312,    5,    0
223645,19750313,   22,    0
223645,19750314,   61,    0
223645,19750315,   35,    0
223645,19750316,    5,    0
223645,19750317,    3,    0
223645,19750318,    8,    0
223645,19750319,   20,    0
223645,19750320,   28,    0
223645,19750321,   55,    0
223645,19750322,   38,    0
223645,19750323,   29,    0
223645,19750324,   16,    0
223645,19750325,   17,    0
223645,19750326,   13,    0
223645,19750327,   16,    0
223645,19750328,    8,    0
223645,19750329,    9,    0
223645,19750330,    4,    0
223645,19750331,   10,    0
223645,19750401,   18,    0
223645,19750402,   14,    0
223645,19750403,   23,    0
223645,19750404,   10,    0
223645,19750405,   12,    0
223645,19750406,    5,    0
223645,19750407,    7,    0
223645,19750408,   14,    0
223645,19750409,   15,    0
223645,19750410,   18,    0
223645,19750411,   48,    0
223645,19750412,   41,    0
223645,19750413,   34,    0
223645,19750414,   21,    0
223645,19750415,   10,    0
223645,19750416,    7,    0
223645,19750417,   16,    0
223645,19750418,    9,    0
223645,19750419,    8,    0
223645,19750420,    9,    0
223645,19750421,    6,    0
223645,19750422,    7,    0
223645,19750423,   14,    0
223645,19750424,    5,    0
223645,19750425,   10,    0
223645,19750426,   17,    0
223645,19750427,   14,    0
223645,19750428,   26,    0
